SoldTo,NamaAgen,Wilayah,TipePangkalan,IDRegistrasi,NamaPangkalan,EmailPangkalan,NoHPPemilik,NoKTPPemilik,NamaPemilik,NomorNIB,QtyKontrak,Catatan,TipePembayaran,NoRekening,NamaBank,NamaAkunBank,TanggalDiapproveSAM,Provinsi,Kota,Kecamatan,Kelurahan,RT,RW,KodePos,Alamat,IntegrasiMAP,MID,Latitude,Longitude,StatusPembaharuan
793603,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023660774773,SPBU 142011137,megapriasa691@gmail.com,81267591060,1271976681459956,Mega Priasa,,800,,Cashless,1060010000000.0,Bank Mandiri,MEGA PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,GLUGUR KOTA,111,111,20114,Jalan Wahyuni No 134,Ya,LPG_225031,3.628345,98.668883,Active Diperbaharui
793600,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023670783355,WIJAYA JAYA,budiwijaya924@gmail.com,81235919571,1271331800614860,Budi Wijaya,1207564844800000,800,,Cashless,1060010000000.0,Bank Mandiri,BUDI WIJAYA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GLUGUR KOTA,111,111,20236,Jalan Utami No 164,Ya,LPG_228621,3.592149,98.685106,Active Diperbaharui
793602,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023681783236,WIJAYA JAYA,setiawanwijaya681@gmail.com,81215397696,1271650086019179,Setiawan Wijaya,1207973594210000,1000,,Cashless,1060010000000.0,Bank Mandiri,SETIAWAN WIJAYA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,GAHARU,111,111,20236,Jalan Ariyani No 159,Ya,LPG_226401,3.590791,98.666053,Active Diperbaharui
793603,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023797668695,WAHYUNI ENERGY,sitiwahyuni421@gmail.com,81287858371,1271312438857327,Siti Wahyuni,,1000,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,SITI WAHYUNI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,PULO BRAYAN DARAT II,111,111,20114,Jalan Priasa No 173,Ya,LPG_218785,3.624232,98.677625,Active Diperbaharui
793601,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023674897905,SPBU 142011873,putrisaputra249@gmail.com,81267078268,1271938105836405,Putri Saputra,,1000,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,PUTRI SAPUTRA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GAHARU,111,111,20235,Jalan Saputra No 67,Ya,LPG_218736,3.603245,98.67253,Active Diperbaharui
793600,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.202379517864,WIJAYA MAJU,pratamawijaya93@gmail.com,81292315447,1271224181892577,Pratama Wijaya,,800,,Cashless,1060010000000.0,Bank Mandiri,PRATAMA WIJAYA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,GLUGUR KOTA,111,111,20236,Jalan Ahmad No 153,Ya,LPG_221878,3.617662,98.665838,Active Diperbaharui
793600,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023753042088,SPBU 142011230,putrirahayu519@gmail.com,81268145858,1271916569074451,Putri Rahayu,1207953681180000,1650,,Cashless,1060010000000.0,Bank Mandiri,PUTRI RAHAYU,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,PULO BRAYAN DARAT II,111,111,20235,Jalan Nose No 82,Ya,LPG_225465,3.580169,98.678414,Active Diperbaharui
793601,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023749356521,AHMAD JAYA,sitiahmad166@gmail.com,81217334424,1271744674616713,Siti Ahmad,,1120,,Cashless,1060010000000.0,Bank Mandiri,SITI AHMAD,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,PULO BRAYAN DARAT II,111,111,20235,Jalan Wahyuni No 159,Ya,LPG_216881,3.599956,98.664849,Active Diperbaharui
793602,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023683103221,SPBU 142011174,rizkyariyani155@gmail.com,81242343134,1271445353937520,Rizky Ariyani,1207599323680000,1000,,Cashless,1060010000000.0,Bank Mandiri,RIZKY ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,GAHARU,111,111,20114,Jalan Saputra No 22,Ya,LPG_228048,3.582928,98.666322,Active Diperbaharui
793602,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023726799245,WIJAYA GAS,sitiwijaya157@gmail.com,81226908552,1271649035982835,Siti Wijaya,1207397337540000,1000,,Cashless,1060010000000.0,Bank Mandiri,SITI WIJAYA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SIDORAME BARAT II,111,111,20235,Jalan Ariyani No 168,Ya,LPG_229458,3.621727,98.679893,Active Diperbaharui
793602,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023642259568,DEWI ENERGY,hestidewi741@gmail.com,81275721062,1271540509784094,Hesti Dewi,,800,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,HESTI DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GAHARU,111,111,20236,Jalan Wahyuni No 113,Ya,LPG_222418,3.625262,98.662786,Active Diperbaharui
793600,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023643144886,DEWI ENERGY,budidewi120@gmail.com,81263987954,1271904116761337,Budi Dewi,,1000,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,BUDI DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,SIDORAME BARAT II,111,111,20236,Jalan Santoso No 145,Ya,LPG_218662,3.622996,98.684092,Active Diperbaharui
793602,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023657523011,AHMAD MAJU,rizkyahmad211@gmail.com,81213130779,1271183129417178,Rizky Ahmad,1207685961630000,1120,,Cashless,1060010000000.0,Bank Mandiri,RIZKY AHMAD,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GLUGUR KOTA,111,111,20236,Jalan Rahayu No 161,Ya,LPG_221275,3.581019,98.675367,Active Diperbaharui
793600,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023728629765,FITRIANI MAJU,budifitriani846@gmail.com,81248845939,1271234223623502,Budi Fitriani,1207931250300000,1120,,Cashless,1060010000000.0,Bank Mandiri,BUDI FITRIANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SIDORAME BARAT II,111,111,20236,Jalan Wahyuni No 37,Ya,LPG_225147,3.585896,98.663251,Active Diperbaharui
793603,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023761377857,UTAMI GAS,sitiutami945@gmail.com,81270431552,1271713546891392,Siti Utami,1207245702430000,1120,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,SITI UTAMI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SIDORAME BARAT II,111,111,20235,Jalan Ariyani No 84,Ya,LPG_211177,3.617763,98.687373,Active Diperbaharui
793600,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023749323558,PRIASA ENERGY,hestipriasa339@gmail.com,81211823783,1271761070308070,Hesti Priasa,1207695368670000,800,,Cashless,1060010000000.0,Bank Mandiri,HESTI PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,GAHARU,111,111,20114,Jalan Dewi No 14,Ya,LPG_220419,3.60926,98.677877,Active Diperbaharui
793603,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023647506248,FITRIANI MAJU,setiawanfitriani886@gmail.com,81268371640,1271601721974947,Setiawan Fitriani,1207734074590000,1650,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,SETIAWAN FITRIANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,GLUGUR KOTA,111,111,20114,Jalan Fitriani No 107,Ya,LPG_210914,3.594762,98.678456,Active Diperbaharui
793601,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023775169799,SAPUTRA MAJU,pratamasaputra169@gmail.com,81220460003,1271521755173111,Pratama Saputra,1207201381970000,1000,,Cashless,1060010000000.0,Bank Mandiri,PRATAMA SAPUTRA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,PULO BRAYAN DARAT II,111,111,20236,Jalan Rahayu No 167,Ya,LPG_210082,3.62004,98.664458,Active Diperbaharui
793603,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023759284934,AHMAD JAYA,hestiahmad979@gmail.com,81210920611,1271117167103488,Hesti Ahmad,1207212545350000,1650,,Cashless,1060010000000.0,Bank Mandiri,HESTI AHMAD,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SIDORAME BARAT II,111,111,20114,Jalan Shinellah No 138,Ya,LPG_211476,3.599952,98.672804,Active Diperbaharui
793600,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.202377285674,AHMAD LPG,pratamaahmad72@gmail.com,81281532329,1271525366062596,Pratama Ahmad,1207334024670000,1650,,Cashless,1060010000000.0,Bank Mandiri,PRATAMA AHMAD,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,PULO BRAYAN DARAT II,111,111,20236,Jalan Nose No 86,Ya,LPG_226772,3.585016,98.689467,Active Diperbaharui
793602,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023648874291,ARIYANI GAS,megaariyani499@gmail.com,81257215605,1271395584740485,Mega Ariyani,1207479088090000,1120,,Cashless,1060010000000.0,Bank Mandiri,MEGA ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,GAHARU,111,111,20235,Jalan Shinellah No 15,Ya,LPG_224249,3.591613,98.681524,Active Diperbaharui
793603,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.202361261108,AHMAD GAS,fauziahmad928@gmail.com,81210486835,1271926371797371,Fauzi Ahmad,,800,,Cashless,1060010000000.0,Bank Mandiri,FAUZI AHMAD,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,SEI PUTIH BARAT,111,111,20114,Jalan Ahmad No 2,Ya,LPG_221107,3.600877,98.681071,Active Diperbaharui
793602,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023762269248,NOSE MAJU,sitinose833@gmail.com,81238077569,1271823689496212,Siti Nose,1207103523120000,1120,,Cashless,1060010000000.0,Bank Mandiri,SITI NOSE,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,PULO BRAYAN DARAT II,111,111,20114,Jalan Shinellah No 185,Ya,LPG_215550,3.598539,98.670271,Active Diperbaharui
793602,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023658824534,PRIASA JAYA,budipriasa830@gmail.com,81265631739,1271732744405823,Budi Priasa,1207960012100000,800,,Cashless,1060010000000.0,Bank Mandiri,BUDI PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,GLUGUR KOTA,111,111,20235,Jalan Nose No 30,Ya,LPG_210629,3.620324,98.687324,Active Diperbaharui
793600,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023749185246,AHMAD MAJU,budiahmad962@gmail.com,81274192167,1271486728392737,Budi Ahmad,1207934834590000,1120,,Cashless,1060010000000.0,Bank Mandiri,BUDI AHMAD,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,SEI PUTIH BARAT,111,111,20235,Jalan Rahayu No 151,Ya,LPG_211965,3.606493,98.667818,Active Diperbaharui
793600,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023698441861,WIJAYA GAS,putriwijaya906@gmail.com,81266259375,1271933102247733,Putri Wijaya,1207118679970000,1650,,Cashless,1060010000000.0,Bank Mandiri,PUTRI WIJAYA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SIDORAME BARAT II,111,111,20114,Jalan Dewi No 15,Ya,LPG_214401,3.617275,98.661453,Active Diperbaharui
793601,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023719381152,DEWI GAS,ovidewi532@gmail.com,81292009330,1271536307844342,Ovi Dewi,,1000,,Cashless,1060010000000.0,Bank Mandiri,OVI DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,SEI PUTIH BARAT,111,111,20236,Jalan Ahmad No 179,Ya,LPG_227997,3.608977,98.672709,Active Diperbaharui
